molecule,smiles,raw_score,weighted_score,protein,is_target
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.226441383361816,-3.1698310375213623,A0A8C9E2A0,False
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP ,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.226441383361816,-3.1698310375213623,A0A8C9E2A0,False
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7,4.3845367431640625,-3.288402557373047,A0A8C9E2A0,False
BF7D8E0A935B0CE8_1EF42738B2956279_6031_UN,O(C(=O)C1CCC(O1)C2CCCO2)CC3(CN)COCC4COCCN34,4.499866485595703,-3.3748998641967773,A0A8C9E2A0,False
40C995D481DAEA28_F6EB6679F2A73AA3_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCCl,4.5224761962890625,-3.391857147216797,A0A8C9E2A0,False
36E8675442E2447D_FC843CA6F7459309_6035_UN,O(CCOCC1=CC=CC=C1)C3=C2[N](C=CN=C2)C(=N3)C4=CC=CC=C4,4.567155361175537,-3.425366520881653,A0A8C9E2A0,False
21C447C985771621_8BF5119151BD076D_6035_UN,O(CC12CCCN(CCC1)C2)C4=C3[N](C=CN=C3)C(=N4)C5=CC=CC=C5,4.582250595092773,-3.43668794631958,A0A8C9E2A0,False
1AD8ADF08ECA6F7A_04673EA42D9A8875_6039_UN,O(C3=C2N=C1C=CC=CC1=NC2=CC=C3)CC5CN4CC(CCC4=O)O5,4.598492622375488,-3.448869466781616,A0A8C9E2A0,False
0870876143F88BA7_0BF8C938AC6CE21A_6031_UN,O(C(=O)CCCOC1=CC=C(C=C1)Br)CCC3=C[N]2N=CC(=C2N=C3)Br,4.651604652404785,-3.488703489303589,A0A8C9E2A0,False
67F59C0DE71607FE_AD6C8E4DC3511913_2201_UN,C13=NC6=C5C(=C1C2(OCCO2)C4=C3C=CC=C4)CCC5=CC7=C6CCC7,4.663941860198975,-3.497956395149231,A0A8C9E2A0,False
77715862284A7E69_79746A3F8C11C3DF_2201_UN,C12=NC6=C5C(=C1CCC3=C2SC4=C3C=CC=C4)CCC5=CC7=C6CCC7,4.678028106689453,-3.50852108001709,A0A8C9E2A0,False
D9A85D806D1E85AD_AE6E406AAE69D5C9_6038_UN,CC1=CC(=CC=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,4.680398464202881,-3.5102988481521606,A0A8C9E2A0,False
02E106D5A828EB4A_0DA3E99AC9DD90AE_6038_UN,CCN3CCOC(CCOC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)C3,4.684369087219238,-3.5132768154144287,A0A8C9E2A0,False
A700F9A3757B798F_FA973189D809814E_6038_UN,CC1=CC=C(C=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,4.688852310180664,-3.516639232635498,A0A8C9E2A0,False
DC36AD029495754A_C584AD6CD1360E68_7019_DP,NCCC=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O)O,4.690085411071777,-3.517564058303833,A0A8C9E2A0,False
99248F6D7D396149_B036433BBFC293C0_6035_UN,CC45CCC(COC2=C1[N](C=CN=C1)C(=N2)C3=CC=CC=C3)(CC4)OC5,4.695864200592041,-3.5218981504440308,A0A8C9E2A0,False
F417C24AC0E08FA5_F87B502B5D2AE899_6035_UN,O(CC12CN(CC1)CCC2)C3=CC=C(C=C3)C4=NC5=C(N=C4)C=CC=C5,4.698922157287598,-3.5241916179656982,A0A8C9E2A0,False
B7AE226756183A8A_7484ABAAFE42AD93_6035_UN,O(C23CC1CC(CC(C1)C2)C3)C5=C4[N](C=CN=C4)C(=N5)C6=CC=CC=C6,4.69969367980957,-3.5247702598571777,A0A8C9E2A0,False
0A41F356C4AB2FE3_C0CA538064CBC929_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)C7=C(C=C5CC6)CCC7,4.70196008682251,-3.5264700651168823,A0A8C9E2A0,False
AF216564F7739CE4_2F1EA83B4D05504C_6035_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)C4=NC=C[N]5N=CC=C45,4.708017826080322,-3.5310133695602417,A0A8C9E2A0,False
55D5C12610C84602_2437FE43C6A861AE_6041_UN,C2(=N[N]1C(=NN=C1C=C2)C3=CC=NC=C3)NC56CN4CN(CN(C4)C5)C6,4.711519718170166,-3.5336397886276245,A0A8C9E2A0,False
DB465DA135D84A9A_AFF1D2B40ACB197E_7022_UN,C1(=CC=C[N]2N=CC=C12)OC3CC4CCCC(C3)N4CC5=CC=CC=C5,4.71469783782959,-3.5360233783721924,A0A8C9E2A0,False
DB465DA135D84A9A_770C54443C446C6C_6035_UN,O(C1CC2CCCC(C1)N2CC3=CC=CC=C3)C4=CC=C[N]5N=CC=C45,4.71469783782959,-3.5360233783721924,A0A8C9E2A0,False
B157C2AE0C76D488_46A7A37A378DED8C_6038_UN,CC1=C(C=CN=C1)C(OC(=O)C23CCCN(CCC2)C3)C4=CC=CC=C4,4.7149248123168945,-3.536193609237671,A0A8C9E2A0,False
5C20F88272BD8E57_35E47101ACE53CB6_6039_UN,O(CC1=NN=C2COCC[N]12)CC5CCC3(CCC4(CC3)OCCO4)O5,4.718872547149658,-3.5391544103622437,A0A8C9E2A0,False
A28A015764CC70D3_035F5AAC6E81404D_6031_DP,N4C[C@@H](CC(=O)OCC12CC(N)(C1)C3(O2)CCOCC3)O[C@@H]5COC[C@@H]45,4.719205856323242,-3.5394043922424316,A0A8C9E2A0,False
6F79EEAC367A2808_46619B2E351A9433_7005_UN,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)OCC5=CC=CC=C5,4.7201762199401855,-3.540132164955139,A0A8C9E2A0,False
42191394A3097C2F_700666CFC08DD8A1_6006_UN,C1(=NC3=C(C=C1)N2CC[C@@H](C2)N3)C4=CC=C(C=C4)OCC5=NC=CC=C5,4.723043441772461,-3.5422825813293457,A0A8C9E2A0,False
4FCF76B9A3E49F6B_5363684F1DE8AE87_6039_UN,O(C1CCCCCCCCCCC1)CC2=NN=N[N]2CC3=CC=CC=C3,4.74520206451416,-3.55890154838562,A0A8C9E2A0,False
E7CAE8F2B724FF6E_02B8112A00AB8D70_6039_UN,O(C1(CCC2(CC1)OCCO2)C3=CC=C(C=C3)F)CC4=CC=CC(=C4)F,4.749781131744385,-3.5623358488082886,A0A8C9E2A0,False
42294F6C8A61414E_2535F28154B920BD_6038_UN,CCOC3CC(OC(=O)CN2N=C1CCCCCN1C2=O)C3(CC)CC,4.752590179443359,-3.5644426345825195,A0A8C9E2A0,False
D41B5A3F721436EA_D297281A67BA2528_6039_UN,O(CC12CN(CC1)CCC2)CC3=NC(=NC=C3)C5CC4=C(C=CC=C4)O5,4.759213447570801,-3.5694100856781006,A0A8C9E2A0,False
C41EDC93D8CE2012_EB81639A9CE3ADCF_6039_UN,O(CCCOCC1=CC=CC=C1)CC2=NN=C(C=C2)OC3=CC=CC=C3,4.761375427246094,-3.5710315704345703,A0A8C9E2A0,False
BB36A251BCD88D7D_1197C8A19D079B6F_6039_UN,CCOC(CN3CCC(OCC2=C1OCCOC1=CC=C2)CC3)OCC,4.762331008911133,-3.5717482566833496,A0A8C9E2A0,False
4FE16B801F06D97F_5FEA45A0A4302D47_6038_UN,CC1=CC=C(C=C1)C(OC(=O)CC2CN3CCN2CC3)C4=CC=CC=C4,4.762897968292236,-3.5721734762191772,A0A8C9E2A0,False
96F8F30014022CA1_51F2A5A20C37036E_6038_UN,O(CCOCC1=CC(=CC=C1)F)C(=O)C2CCOC(O2)C3=CC=CC=C3,4.7659525871276855,-3.574464440345764,A0A8C9E2A0,False
616A9255874B48ED_EC5ED365C2E81CE1_6035_UN,O(CC12CCCN(CCC1)C2)C3=CC(=NC4=CC=N[N]34)C5=CC=CC=C5,4.767913818359375,-3.5759353637695312,A0A8C9E2A0,False
91573899E9247407_0C690A60EADAC4FF_6031_UN,O(C(=O)C=CCOC1CCOCC1)CC2(CN)COCC3CCCCN23,4.768124580383301,-3.5760934352874756,A0A8C9E2A0,False
1218F964434D6551_4762103D419D863E_6035_UN,O(CC12CC(CO1)CCC2)C3=CC=C(C=C3)C4=NC5=C(N=C4)C=CC=C5,4.7714080810546875,-3.5785560607910156,A0A8C9E2A0,False
F1BE7E50FF96BE1D_79145816A7036A9D_6039_UN,O([C@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CCOC4=CC=CC(=C4)F,4.77230167388916,-3.57922625541687,A0A8C9E2A0,False
2660EA0F399BB1C0_3565862D59E2650D_6035_UN,O(CC12CN(CC1)CCC2)C4=C3C=CC=CC3=NC(=N4)C5=CC=NC=C5,4.775970935821533,-3.58197820186615,A0A8C9E2A0,False
EC90FFF2913153A1_46619B2E351A9433_7005_UN,[NH]2C1=CC=C(C=C1N=C2C3N4CCN(C3)CCC4)OCC5=CC=CC=C5,4.779321670532227,-3.58449125289917,A0A8C9E2A0,False
A488732D440C5BFC_B39DB0FA2F4C2661_6041_UN,C2(=NC1=NC=N[N]1C(=C2)C3=CC=CC=C3)NC56CN4CN(CN(C4)C5)C6,4.783106327056885,-3.5873297452926636,A0A8C9E2A0,False
308B6F77D6FDEB97_AB085DE99F184D24_2201_UN,C12=NC6=C5C(=C1COC4=C2C=C3OCOC3=C4)CCC5=CC7=C6CCC7,4.786693572998047,-3.590020179748535,A0A8C9E2A0,False
CF1EECBE3DDDC2E4_F56D203B3259C43A_6038_UN,CCOC(=O)C(CC)(CC)COC(=O)CC2CCC1(CCOCC1)CO2,4.7868804931640625,-3.590160369873047,A0A8C9E2A0,False
C48A055FDB01B64F_1D26ED735DF04EED_6039_UN,O([C@@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CCOC4=CC=CC(=C4)F,4.788210391998291,-3.5911577939987183,A0A8C9E2A0,False
9012E13F87BDF8D3_CE652621314E39C7_6035_UN,O(CC12CCC(CC1)CC2)C3=CC=C(C=C3)C4=NC5=C(N=C4)C=CC=C5,4.788787364959717,-3.5915905237197876,A0A8C9E2A0,False
0C9CAF9D0D32DE86_5ADE9BCB305F408E_6031_UN,O(C(=O)C1CCC(O1)C2CCCO2)CC34CC(N)(C3)C5(O4)CCOCC5,4.792961120605469,-3.5947208404541016,A0A8C9E2A0,False
7115209D6343A91F_7C5F59272A5352B2_2201_UN,C12=NC6=C5C(=C1CC4=C2C=C3OCCOC3=C4)CCC5=CC7=C6CCC7,4.796921730041504,-3.597691297531128,A0A8C9E2A0,False
43B0688CB85E82E0_23DDD8B0AE0CAA13_7005_UN,N3=C(C1N2CCN(C1)CC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,4.798720359802246,-3.5990402698516846,A0A8C9E2A0,False
CB2E05679584617A_D55BE3837777EE79_2201_UN,C12=NC6=C5C(=C1CCC3=C2[NH]C4=C3C=CC=C4)CCC5=CC7=C6CCC7,4.8031487464904785,-3.602361559867859,A0A8C9E2A0,False
D629C3274C56B7EB_4EBE83F26540697A_6039_UN,O([C@H]1[C@H]3CC2C[C@@H]1CN(C2)C3)CC4=CC(=CN=C4)OCC5=CC=CC=C5,4.80405855178833,-3.6030439138412476,A0A8C9E2A0,False
78265F48258EBE1A_02C2095EB348FA0C_6039_UN,O(C1CCCCCCC1(F)F)CC4CCC2(CCC3(CC2)OCCO3)O4,4.81425142288208,-3.61068856716156,A0A8C9E2A0,False
011EA31BD88D51A5_B8F521DA87548191_6031_UN,O(C(=O)CCC1CCC(O1)C2OCCO2)CC34CC(N)(C3)C5(O4)CCC5,4.819350242614746,-3.6145126819610596,A0A8C9E2A0,False
46F71A244F4C4FCF_096DE743F522DED4_6031_UN,O(C(=O)[C@@H]1C[C@H]2C[C@H]1C3(C2)NC(=O)NC3=O)CC4(CN)C5CCC(C4)C5,4.824554443359375,-3.6184158325195312,A0A8C9E2A0,False
00526FB89DED1A9A_DD5EAAAEF3A0688C_6039_UN,O(CC1CCCC(F)(F)CO1)CC4CCC2(CCC3(CC2)OCCO3)O4,4.824650764465332,-3.618488073348999,A0A8C9E2A0,False
04148D2C789EBFB4_321054150983670C_6038_UN,CC3(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCCO3,4.83510684967041,-3.6263301372528076,A0A8C9E2A0,False
7A8A05792DE5A829_0AB900DD5B00BFC6_6039_UN,O(CC12CCC(CC1)CC2)CCOC(C3=CC=CC=C3)C4=CC=CC=C4,4.837920188903809,-3.6284401416778564,A0A8C9E2A0,False
151AD301EF947331_1D621F75CADDE2DA_6038_UN,O(CCOC1=C(C=CC=C1)F)C(=O)C2C(C3CC2C=C3)C4=CC=CC=C4,4.840801239013672,-3.630600929260254,A0A8C9E2A0,False
17847F83E7F79178_121357F9F3E31371_6039_UN,O(CC(F)(F)CCCC(=O)O)CC3CCC1(CCC2(CC1)OCCO2)O3,4.847674369812012,-3.635755777359009,A0A8C9E2A0,False
CC6B8B74E9404B91_037BF0273586B453_6035_UN,O(CC12CCC(CC1)CC2)C4=C3C=CC=CC3=NC(=N4)C5=CC=NC=C5,4.8542962074279785,-3.640722155570984,A0A8C9E2A0,False
57FA8DF38165577E_FC996D2B6EE0502D_2201_DP,N2CCC3CC1=C(C4=C(N=C1C2C3)C5=C(O4)C=CC=C5)C6=CC=CC=C6,4.854635715484619,-3.6409767866134644,A0A8C9E2A0,False
32E5015BF56E84B4_EE264712EBAE3F61_6039_UN,CCCCCC(OCC3CCC1(CCC2(CC1)OCCO2)O3)C(=O)OC,4.859833717346191,-3.6448752880096436,A0A8C9E2A0,False
749C32A009EBB8CA_52E91856698B6042_6041_UN,C1(=NC3=C(C(=N1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,4.861474990844727,-3.646106243133545,A0A8C9E2A0,False
BD508F9BFEA5A315_66A932C8937EA79A_6039_UN,O(CC2=N[N]1CCCOC1=C2)CC5CCC3(CCC4(CC3)OCCO4)O5,4.861973762512207,-3.6464803218841553,A0A8C9E2A0,False
2DD6DDC35401544C_7951D278642CCEF2_7019_UN,C(CC1CCC1)=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O)O,4.863300323486328,-3.647475242614746,A0A8C9E2A0,False
A485C250A804C587_1F74F680FFE559A4_6039_UN,O(CCCCN1CCOCC1)CC3CN(CC2=CC=CC=C2)CCCO3,4.866109848022461,-3.6495823860168457,A0A8C9E2A0,False
955615CD10CAF6E4_E0D40B35A518C4A6_6039_DP,N3CC[C@@H]4CC[C@@H](OCCOC(C1=CC=CC=C1)C2=CC=CC=C2)[C@H]3C4,4.867912292480469,-3.6509342193603516,A0A8C9E2A0,False
6F98616D12547DE9_A7877BF3DF410445_6038_UN,CCOC(=O)C(OC(=O)[C@@H]1CC[C@@H](O1)C(=O)N2CCOCC2)CCSC,4.869139194488525,-3.651854395866394,A0A8C9E2A0,False
C915BC899895FFCF_9580B0C520DC1E4A_6038_UN,CCCCCC(OC(=O)[C@@H]1[C@H]3CC[C@]2(COC(=O)[C@H]12)O3)CC(=O)OCC,4.870848655700684,-3.6531364917755127,A0A8C9E2A0,False
AE642CEF311721EF_DCE2B589504B5C6A_6038_UN,CCOC(=O)C(CC)(CC)CNC(=O)CC2CCC1(CCOCC1)CO2,4.872269153594971,-3.654201865196228,A0A8C9E2A0,False
D1CBE09321AD759A_62688F4A1E280AB8_6038_UN,CCOC(=O)CCCCCCCOC(=O)[C@@H]1[C@H]3CC[C@]2(COC(=O)[C@H]12)O3,4.873126029968262,-3.6548445224761963,A0A8C9E2A0,False
76584CA8150212C4_244ECB308E8F3175_2201_UN,C23=NC1=C(C=C(C=C1)F)C(=C2[C@@H]4C[C@H]3CC45OCCO5)C6=CC=CC=C6,4.875442028045654,-3.6565815210342407,A0A8C9E2A0,False
EB48585E4893C7AF_3CCFD7FD29C5D577_2201_UN,C23=NC1=C(C=C(C=C1)Br)C(=C2[C@@H]4C[C@H]3CC45OCCO5)C6=CC=CC=C6,4.875442981719971,-3.656582236289978,A0A8C9E2A0,False
16AE2A0F8BC95A6D_7EBCAAB6DC1D3879_6039_UN,O(CC(COCC1=CC=CC=C1)OCC2=CC=CC=C2)CC3COCO3,4.889301300048828,-3.666975975036621,A0A8C9E2A0,False
D099A77146630B96_967F21D2D6FD0155_6038_UN,CCCCCC(OC(=O)CC1CC2(CO1)CCOCC2)CC(=O)OCC,4.89109992980957,-3.6683249473571777,A0A8C9E2A0,False
0C739EE659B04559_CEB667D9F6232955_6039_UN,O(CCSCC1=NC=CC=C1)CC4=C2C=CC=CC2=C3C=CC=CC3=N4,4.891863822937012,-3.668897867202759,A0A8C9E2A0,False
D5FB2FB26892EFEE_9D404081C7B6DB2A_6038_UN,CCC1=C(C(C=CO1)=O)OC(=O)C4COC2=C(C3=C(C=C2)C=CC=C3)C4,4.892346382141113,-3.669259786605835,A0A8C9E2A0,False
EA68967B64C35129_D6297D75C14104BD_6038_UN,CCCCCC(OC(=O)CC1CCC2(CC1)OCCO2)CC(=O)OCC,4.895585060119629,-3.6716887950897217,A0A8C9E2A0,False
A4DCEE613F4632D1_1FF708EB08E68CE3_6041_UN,C1(=NC3=C(C(=C1)C2=CC=CC=C2)C=CC=C3)NC45CCCN(CCC4)C5,4.897134780883789,-3.672851085662842,A0A8C9E2A0,False
ACA58533170B4FC2_0285A1BA2DC18D27_6039_UN,COC(=O)C[C@H](C)OCC(=O)N1CCC(CC1)C(=O)N2CCCCCC2,4.899701118469238,-3.6747758388519287,A0A8C9E2A0,False
146B81335F52E591_10F617DDEC861D1A_7005_UN,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,4.900543212890625,-3.6754074096679688,A0A8C9E2A0,False
B1281C17700A66A0_0AB2C188CE3BBC98_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)OC3CCCCCCCCCCC3,4.903146743774414,-3.6773600578308105,A0A8C9E2A0,False
76A7EAAE2F0D94E0_BEC2C042750C1111_2875_UN,ClC1=CC=C(C=C1)OCC[N]2N=NC(=C2)CCCCC3=CC=CC(=C3)Br,4.909743309020996,-3.682307481765747,A0A8C9E2A0,False
3C6A71763AEF8375_1C4269443D441825_6039_UN,CCCC(CCCOCC3CCC1(CCC2(CC1)OCCO2)O3)C(=O)O,4.910769462585449,-3.683077096939087,A0A8C9E2A0,False
8BD4DDA37BBED0B7_79D804A36C1FEF1A_2201_UN,C13=NC6=C5C(=C1C2(CCC2)OC4=C3C=CC=C4)CCC5=CC7=C6CCC7,4.920068264007568,-3.6900511980056763,A0A8C9E2A0,False
9929118B81E2D911_A1AB085DF6BF3827_6039_UN,O([C@@H]2CC[C@@H]3CN(CC1=CC=CC=C1)C[C@H]23)CCOCC4=CC=CC=C4,4.922267913818359,-3.6917009353637695,A0A8C9E2A0,False
64EDBDA3D9325608_3DC1086A226EDDB0_6038_UN,COC(=O)C1(N(CC(C1)OC(=O)CC3CCC2(CCOCC2)CO3)C)C,4.923673152923584,-3.692754864692688,A0A8C9E2A0,False
0316A0AE763B7847_C36C63A1480295AC_6031_DP,N5CC(CC(=O)OCC12CC(N)(C1)C3(O2)CCOCC3)OC4(CCC4)C5,4.924299240112305,-3.6932244300842285,A0A8C9E2A0,False
2C51EE29407E51B4_FB29394596805274_6038_UN,CC(OC(=O)C12CCCN(CCC1)C2)C3=C(C=CC=C3)C4=CC=CC=C4,4.925512313842773,-3.69413423538208,A0A8C9E2A0,False
CF5A77D38E3A2533_E46E725AC614A6C0_6038_UN,CCOC(=O)C1(CCOCC1)C(C)NC(=O)CCCCN2CCOCC2,4.926424980163574,-3.6948187351226807,A0A8C9E2A0,False
6608F16EB65211EF_64271DFD1AD73206_6038_UN,CCOC(CCCNC(=O)C1CCN(CC1)C(=O)N2CCCC2)OCC,4.926639080047607,-3.6949793100357056,A0A8C9E2A0,False
33B30F1369E0F4D5_23E6FB2D4DAB06A9_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCC4=NC3=C(C=CC=C3)S4,4.937379837036133,-3.7030348777770996,A0A8C9E2A0,False
BFDFD52DDAC7769E_7EDEE70552AFBBB0_6034_UN,BrC1=CN(C(C=C1)=O)CC3=NC2=C(C=CC=C2)[N]3CC4=C(C=CC=C4)F,4.942131042480469,-3.7065982818603516,A0A8C9E2A0,False
54FCD3871B523298_DA5F73A73748F461_6039_UN,CCOC(OCC)C(C)(C)OCC3CCC1(CCC2(CC1)OCCO2)O3,4.95939302444458,-3.719544768333435,A0A8C9E2A0,False
D57A36C83CB2F708_B40EFCFCB373AF57_7022_UN,CCCOCCOC1=CC(=CC=C1)OCCC3=C[N]2N=CC(=C2N=C3)Br,4.962054252624512,-3.721540689468384,A0A8C9E2A0,False
79DAF23ED029463A_CF00A456DBD68D76_6039_UN,O([C@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CCCC4=CC=CC(=C4)F,4.96645975112915,-3.724844813346863,A0A8C9E2A0,False
D73663C178DF796D_4B4A4F81B9C745FD_6031_UN,CC(=O)N2CCC(CCC(=O)OCC1(C(OCC)=O)CCOCC1)CC2,4.9697675704956055,-3.727325677871704,A0A8C9E2A0,False
F7DBDF2C96A6284E_96CCD14CDA97A14C_7022_UN,C1(=C(C=CC=C1)Cl)OC4CCOC3(CCN(CC2=CC=CC=C2)CC3)C4,4.970440864562988,-3.727830648422241,A0A8C9E2A0,False
7774D5CBC0223E26_AB19EB5B6D24BAD9_6035_UN,O([C@H]1[C@H]2NCC[C@H](CC1)C2)C3=CC=C(C=C3)C4=NC5=C(N=C4)C=CC=C5,4.973030090332031,-3.7297725677490234,A0A8C9E2A0,False
54F557C3EBA605AF_E788EF2A558BAFBB_6038_UN,COC(=O)[C@@H]2C[C@@H](OC(=O)C1=C[NH]C=C1)CN2C(=O)OCC3=CC=CC=C3,4.973545074462891,-3.730158805847168,A0A8C9E2A0,False
A2AD553DBECA0207_B571D3A65835680B_6031_UN,COCCOCCOCCCC(=O)OCCOCCOCCOCCN,4.977561950683594,-3.7331714630126953,A0A8C9E2A0,False
DF36657955C1A528_C01C0C51E719EEA4_6038_DP,N3CCC[C@@]4(COC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CCCC[C@H]34,4.980588912963867,-3.7354416847229004,A0A8C9E2A0,False
155A1BA03C4A8BD3_454433DB2F6676EC_2201_UN,C13=NC6=C5C(=C1C2(CCOCC2)OC4=C3C=CC=C4)C=CNC5=NC=N6,4.984677314758301,-3.7385079860687256,A0A8C9E2A0,False
2680B4389C40438B_AB3211332125A906_6039_UN,O([C@@H]2CC1(CCCC1)OC3=C2C=C(C=C3)F)CCCC4=CC=CC(=C4)F,4.98903751373291,-3.7417781352996826,A0A8C9E2A0,False
DBA6B73B4E02D7C6_2B09189CDD79E4BE_6031_UN,O(C(=O)CCCCCCN1C(=O)C=CC1=O)CC2=CN=C3COCC[N]23,4.99287223815918,-3.7446541786193848,A0A8C9E2A0,False
B494A97A17269DD1_95EB01601CDE8F1B_6039_UN,COC(=O)C3CCN(CCOCC1CCCC(O1)C2=CC=CC=C2)CC3,4.99465274810791,-3.7459895610809326,A0A8C9E2A0,False
37B7CA3935DDCD0C_BFCD6BCD59C6E39C_6035_UN,O(CC2CCC1(CCCCCCC1)O2)C3=CC(=CC=C3)OCC(F)(F)F,4.995891094207764,-3.7469183206558228,A0A8C9E2A0,False
138E0230E488541B_5D602CD69A219ECE_6031_UN,O(C(=O)CCC1CCC(O1)C2OCCO2)CC(CN)CC3CCOCC3,4.996299743652344,-3.747224807739258,A0A8C9E2A0,False
CF5FB28AA56B458C_2F9947EEB1CEB2BC_6006_UN,C2(=NC1=C(C=CC=C1)[N]3C=NC=C23)C5=C4OC6=C(C4=CC=C5)C=CC=C6,4.996373176574707,-3.7472798824310303,A0A8C9E2A0,False
C7DB69930331F800_B85EE34FADD97565_6035_UN,NC1CC2(CCCC(C1)C2)OC4=C3[N](C=CN=C3)C(=N4)C5=CC=CC=C5,4.9998321533203125,-3.7498741149902344,A0A8C9E2A0,False
22325A3977D50B07_09334834AEA6804B_6035_UN,O(CC2CCC1(CCCCCCC1)O2)C3=CC=C(C=C3)OCC(F)(F)F,5.000799179077148,-3.7505993843078613,A0A8C9E2A0,False
8B1BB05A453541D6_DA7B176ADF152A27_6039_UN,CCOC(CN3CCC(OCC2CN1CC(CCC1=O)O2)CC3)OCC,5.002692699432373,-3.75201952457428,A0A8C9E2A0,False
BB19104C2DCF5EA9_160283453B9DA74F_6039_UN,O([C@@H]2CC[C@@H]3CN(CC1=CC=CC=C1)C[C@H]23)CC4=C(OCC)C=CC=C4,5.005199909210205,-3.753899931907654,A0A8C9E2A0,False
2B7E22FAD2E60F07_E72B725FD16ADEA9_6039_UN,O(CCC1=NN=C(O1)C2=CC=CC=C2)CCCOCCC3=CC=CC=C3,5.007079124450684,-3.7553093433380127,A0A8C9E2A0,False
ACFBB31476779209_B259C11C992A4960_6039_UN,O(CC1CCCCC(F)(F)C1)CC4CCC2(CCC3(CC2)OCCO3)O4,5.007942199707031,-3.7559566497802734,A0A8C9E2A0,False
474DE23740BAE00D_0AC09FFE21E991F6_6038_UN,CCOC(=O)CSCC(NC(=O)C1CCC12CCOCC2)C(=O)OCC,5.008540630340576,-3.756405472755432,A0A8C9E2A0,False
FDDF1F9712320597_943741F14979FC5A_6038_UN,CCOC(COCCNC(=O)C1(CCOCC1)C2CCOCC2)OCC,5.010560512542725,-3.7579203844070435,A0A8C9E2A0,False
4FAC504CCD5C6297_9472AD3C4A1E03EB_2201_UN,C13=NC6=C5C(=C1C2(CCCCC2)OC4=C3C=CC=C4)C=CNC5=NC=N6,5.014720916748047,-3.761040687561035,A0A8C9E2A0,False
0F8802FDAD6AC132_085B1D9E7C786031_6038_UN,N(CC2(CN1CCOCC1)CCCCC2)C(=O)CCC3C=NC=NC3=O,5.016785621643066,-3.7625892162323,A0A8C9E2A0,False
AEB2C8753C885946_237D639CE2BB77C8_6038_UN,CC(OC(=O)CCCC1=CC=CC=C1)C3CCN(CC2=CC=CC=C2)C3,5.018678188323975,-3.764008641242981,A0A8C9E2A0,False
143131BA25E34F98_DEA613A1F65C7B21_6039_UN,CC3=CN([C@@H]2O[C@H](COCC1=CC(=C(OC)C=C1)C)C=C2)C(=O)NC3=O,5.032812595367432,-3.7746094465255737,A0A8C9E2A0,False
8F8DCE9608988F3D_C78BF30F30D4FDA2_6038_UN,CC(OC(=O)CC2(CC(=O)N1CCOCC1)CCCC2)CC3CCCO3,5.033982276916504,-3.775486707687378,A0A8C9E2A0,False
6FAF7930D04918CB_B6A82D754A6E76C0_6038_UN,CCN3CCOC(CCOC(=O)C1=C(C=C(C=C1)C2=CC=CC=C2)F)C3,5.036239147186279,-3.7771793603897095,A0A8C9E2A0,False
B4288A98073E40B4_5AF9DA2E9C9F283D_6039_UN,O([C@@H]2CC[C@@H]3CN(CC1=CC=CC=C1)C[C@H]23)CC(=O)CC4=CC=CC=C4,5.043763160705566,-3.782822370529175,A0A8C9E2A0,False
A937610DD8B697ED_DC4F319696ADEB49_6031_UN,O(C(=O)C1=CC2=C(N=C1)C=CC=N2)CC4=NC3=C(N=C(N)N=C3N)N=C4,5.045234680175781,-3.783926010131836,A0A8C9E2A0,False
